season,team,games,points_for,points_against,ppg,oppg,net_ppg
2019,BAL,17,543,310,31.94117647058824,18.235294117647054,13.705882352941178
2016,NE,19,545,311,28.68421052631579,16.36842105263158,12.315789473684212
2025,SEA,20,584,338,29.2,16.9,12.3
2023,BAL,19,527,307,27.73684210526316,16.157894736842106,11.578947368421051
2024,DET,18,595,387,33.05555555555556,21.5,11.555555555555555
2021,BUF,19,566,348,29.789473684210527,18.31578947368421,11.47368421052632
2019,NE,17,433,245,25.47058823529412,14.411764705882351,11.058823529411764
2024,PHI,21,608,380,28.952380952380956,18.09523809523809,10.857142857142858
2017,PHI,19,551,345,29.0,18.157894736842103,10.842105263157894
2019,SF,19,563,371,29.63157894736842,19.526315789473685,10.105263157894736
2023,DAL,18,541,363,30.05555555555556,20.166666666666668,9.88888888888889
2023,SF,20,571,375,28.55,18.75,9.8
2019,KC,19,568,383,29.894736842105264,20.157894736842103,9.736842105263158
2017,NE,19,550,371,28.94736842105263,19.526315789473685,9.421052631578943
2022,PHI,20,581,396,29.05,19.8,9.25
2021,DAL,18,547,381,30.38888888888889,21.166666666666668,9.22222222222222
2020,TB,20,615,433,30.75,21.65,9.1
2021,TB,19,569,398,29.94736842105263,20.94736842105263,9.0
2024,BUF,20,612,432,30.6,21.6,9.0
2024,BAL,19,571,402,30.05263157894737,21.157894736842103,8.894736842105264
2016,ATL,19,648,481,34.10526315789474,25.31578947368421,8.789473684210531
2020,BAL,18,491,333,27.27777777777778,18.5,8.777777777777779
2022,SF,20,517,343,25.85,17.15,8.700000000000003
2025,LAR,20,599,425,29.95,21.25,8.7
2025,NE,21,557,375,26.52380952380953,17.857142857142858,8.666666666666668
2018,KC,18,627,471,34.833333333333336,26.166666666666668,8.666666666666668
2022,BUF,18,499,344,27.72222222222222,19.11111111111111,8.61111111111111
2018,NO,18,547,393,30.38888888888889,21.83333333333333,8.555555555555557
2020,GB,18,567,418,31.5,23.22222222222222,8.277777777777779
2020,NO,18,523,376,29.05555555555556,20.88888888888889,8.166666666666668
2017,JAX,19,492,337,25.894736842105264,17.736842105263158,8.157894736842106
2018,CHI,17,436,299,25.647058823529413,17.58823529411765,8.058823529411764
2017,LAR,17,491,355,28.88235294117647,20.88235294117647,8.0
2023,BUF,19,506,355,26.63157894736842,18.68421052631579,7.94736842105263
2018,LAR,19,586,442,30.84210526315789,23.26315789473684,7.578947368421051
2025,JAX,18,498,363,27.666666666666668,20.166666666666668,7.5
2018,NE,19,527,387,27.73684210526316,20.36842105263158,7.368421052631579
2021,NE,18,479,350,26.61111111111111,19.444444444444443,7.166666666666668
2022,DAL,19,510,375,26.84210526315789,19.73684210526316,7.105263157894736
2019,DAL,16,434,321,27.125,20.0625,7.0625
2021,KC,20,588,448,29.4,22.4,7.0
2022,KC,20,584,444,29.2,22.2,7.0
2020,BUF,19,569,440,29.94736842105263,23.157894736842103,6.789473684210524
2017,NO,18,503,381,27.944444444444443,21.166666666666668,6.777777777777775
2016,DAL,17,452,340,26.58823529411765,20.0,6.5882352941176485
2019,NO,17,478,367,28.11764705882353,21.58823529411765,6.5294117647058805
2025,HOU,19,450,329,23.68421052631579,17.31578947368421,6.368421052631582
2024,TB,18,522,408,29.0,22.666666666666668,6.333333333333332
2022,CIN,19,489,372,25.73684210526316,19.57894736842105,6.157894736842106
2024,GB,18,470,360,26.11111111111111,20.0,6.111111111111111
2025,BUF,19,538,422,28.31578947368421,22.210526315789476,6.105263157894736
2017,MIN,18,418,314,23.22222222222222,17.444444444444443,5.777777777777779
2017,BAL,16,395,303,24.6875,18.9375,5.75
2021,LAR,21,567,447,27.0,21.285714285714285,5.714285714285715
2020,KC,19,542,434,28.526315789473685,22.84210526315789,5.684210526315791
2018,BAL,17,406,310,23.88235294117647,18.235294117647054,5.647058823529413
2017,PIT,17,448,353,26.352941176470587,20.764705882352946,5.588235294117645
2020,PIT,17,453,360,26.647058823529413,21.176470588235293,5.47058823529412
2023,KC,21,466,357,22.19047619047619,17.0,5.19047619047619
2017,LAC,16,355,272,22.1875,17.0,5.1875
2019,MIN,18,443,350,24.61111111111111,19.444444444444443,5.166666666666668
2018,LAC,18,479,387,26.61111111111111,21.5,5.111111111111111
2021,IND,17,451,365,26.529411764705884,21.47058823529412,5.058823529411768
2020,IND,17,475,389,27.94117647058824,22.88235294117647,5.0588235294117645
2024,DEN,18,432,342,24.0,19.0,5.0
2023,MIA,18,503,417,27.944444444444443,23.166666666666668,4.777777777777775
2025,DEN,19,441,351,23.210526315789476,18.473684210526315,4.7368421052631575
2018,IND,18,467,382,25.944444444444443,21.22222222222222,4.722222222222221
2018,SEA,17,450,371,26.47058823529412,21.823529411764707,4.6470588235294095
2020,SEA,17,479,401,28.176470588235293,23.58823529411765,4.588235294117645
2024,MIN,18,441,359,24.5,19.944444444444443,4.555555555555557
2024,LAC,18,414,333,23.0,18.5,4.5
2021,CIN,21,552,458,26.285714285714285,21.80952380952381,4.4761904761904745
2016,KC,17,405,329,23.823529411764707,19.352941176470587,4.47058823529412
2023,NO,17,402,327,23.647058823529413,19.235294117647054,4.411764705882355
2017,KC,17,436,361,25.647058823529413,21.235294117647054,4.411764705882355
2019,TEN,19,474,391,24.94736842105263,20.57894736842105,4.368421052631579
2018,PIT,16,428,360,26.75,22.5,4.25
2018,HOU,17,409,337,24.058823529411764,19.823529411764707,4.235294117647058
2021,GB,18,460,384,25.55555555555556,21.33333333333333,4.222222222222225
2020,MIA,16,404,338,25.25,21.125,4.125
2020,LAR,18,420,348,23.33333333333333,19.33333333333333,4.0
2025,DET,17,481,413,28.294117647058822,24.294117647058822,4.0
2024,WAS,20,576,497,28.8,24.85,3.9499999999999993
2016,PIT,19,464,391,24.42105263157895,20.57894736842105,3.842105263157898
2016,SEA,18,400,334,22.22222222222222,18.55555555555556,3.666666666666664
2023,DET,20,547,475,27.35,23.75,3.6000000000000014
2016,ARI,16,418,362,26.125,22.625,3.5
2021,TEN,18,435,373,24.166666666666668,20.72222222222222,3.4444444444444464
2021,SF,20,480,412,24.0,20.6,3.3999999999999986
2021,ARI,18,460,400,25.55555555555556,22.22222222222222,3.333333333333336
2025,IND,17,466,412,27.41176470588235,24.235294117647054,3.176470588235293
2019,BUF,17,333,281,19.58823529411765,16.529411764705884,3.0588235294117645
2019,GB,18,424,373,23.55555555555556,20.72222222222222,2.833333333333336
2025,PHI,18,398,348,22.11111111111111,19.33333333333333,2.7777777777777786
2020,ARI,16,410,367,25.625,22.9375,2.6875
2024,KC,20,462,409,23.1,20.45,2.650000000000002
2020,TEN,17,504,459,29.647058823529413,27.0,2.647058823529413
2016,GB,19,525,476,27.63157894736842,25.05263157894737,2.5789473684210518
2017,ATL,18,389,343,21.61111111111111,19.05555555555556,2.5555555555555536
2022,JAX,19,455,407,23.94736842105263,21.42105263157895,2.5263157894736814
2023,GB,19,452,406,23.789473684210527,21.36842105263158,2.4210526315789487
2021,PHI,18,459,416,25.5,23.11111111111111,2.3888888888888893
2016,PHI,16,367,331,22.9375,20.6875,2.25
2016,DEN,16,333,297,20.8125,18.5625,2.25
2024,CIN,17,472,434,27.764705882352946,25.529411764705884,2.235294117647058
2017,DET,16,410,376,25.625,23.5,2.125
2017,SEA,16,366,332,22.875,20.75,2.125
2023,TB,19,403,365,21.210526315789476,19.210526315789476,2.0
2025,KC,17,362,328,21.294117647058822,19.294117647058822,2.0
2019,LAR,16,394,364,24.625,22.75,1.875
2025,SF,19,466,431,24.526315789473685,22.68421052631579,1.8421052631578936
2017,CAR,17,389,358,22.88235294117647,21.058823529411764,1.8235294117647065
2021,NO,17,364,335,21.41176470588235,19.705882352941178,1.705882352941174
2021,SEA,17,395,366,23.235294117647054,21.529411764705884,1.705882352941174
2023,HOU,19,432,401,22.73684210526316,21.105263157894736,1.6315789473684212
2022,BAL,18,367,339,20.38888888888889,18.83333333333333,1.5555555555555571
2025,BAL,17,424,398,24.94117647058824,23.41176470588235,1.529411764705884
