player,team,proj_pts
Seahawks D/ST,SEA,142
Broncos D/ST,DEN,140
Ravens D/ST,BAL,136
Texans D/ST,HOU,136
Rams D/ST,LAR,134
Eagles D/ST,PHI,133
Vikings D/ST,MIN,131
Steelers D/ST,PIT,127
Chargers D/ST,LAC,125
Lions D/ST,DET,122
Bills D/ST,BUF,120
Packers D/ST,GB,118
49ers D/ST,SF,112
Cardinals D/ST,ARI,110
Buccaneers D/ST,TB,108
Chiefs D/ST,KC,106
Commanders D/ST,WAS,106
Falcons D/ST,ATL,102
Jets D/ST,NYJ,100
Colts D/ST,IND,98
Bengals D/ST,CIN,94
Bears D/ST,CHI,94
Browns D/ST,CLE,88
Cowboys D/ST,DAL,90
Dolphins D/ST,MIA,88
Patriots D/ST,NE,86
Jaguars D/ST,JAX,84
Raiders D/ST,LV,82
Giants D/ST,NYG,80
Panthers D/ST,CAR,78
Saints D/ST,NO,76
Titans D/ST,TEN,74
