team,season,position,depth_order,player_name,gsis_id,jersey_number,side,GP,fantasy_pts
ARI,2026,DB,1,Garrett Williams,00-0039007,0,defense,0,0.0
ARI,2026,DB,2,Budda Baker,00-0033890,0,defense,0,0.0
ARI,2026,DB,3,Andrew Wingard,00-0035378,0,defense,0,0.0
ARI,2026,DB,4,Denzel Burke,00-0040195,0,defense,0,0.0
ARI,2026,DB,5,Max Melton,00-0039807,0,defense,0,0.0
ARI,2026,DB,6,Will Johnson,00-0040751,0,defense,0,0.0
ARI,2026,DB,7,Dadrion Taylor-Demerson,00-0039864,0,defense,0,0.0
ARI,2026,DB,8,Wydett Williams Jr.,00-0041370,0,defense,0,0.0
ARI,2026,DB,9,Kei'Trel Clark,00-0038984,0,defense,0,0.0
ARI,2026,DB,10,Kalen King,00-0039239,0,defense,0,0.0
ARI,2026,DB,11,Kitan Crawford,00-0040230,0,defense,0,0.0
ARI,2026,DB,12,Joey Blount,00-0037141,0,defense,0,0.0
ARI,2026,DL,1,Josh Sweat,00-0034381,0,defense,0,0.0
ARI,2026,DL,2,Roy Lopez,00-0036568,0,defense,0,0.0
ARI,2026,DL,3,Walter Nolen III,00-0040706,0,defense,0,0.0
ARI,2026,DL,4,Dante Stills,00-0038623,0,defense,0,0.0
ARI,2026,DL,5,Jordan Burch,00-0040137,0,defense,0,0.0
ARI,2026,DL,6,Andrew Billings,00-0033066,0,defense,0,0.0
ARI,2026,DL,7,L.J. Collier,00-0035636,0,defense,0,0.0
ARI,2026,DL,8,Darius Robinson,00-0039854,0,defense,0,0.0
ARI,2026,DL,9,Eku Leota,00-0038782,0,defense,0,0.0
ARI,2026,DL,10,Zachary Carter,00-0037804,0,defense,0,0.0
ARI,2026,DL,11,Kaleb Proctor,00-0041555,0,defense,0,0.0
ARI,2026,LB,1,Jack Gibbens,00-0037596,0,defense,0,0.0
ARI,2026,LB,2,Mack Wilson Sr.,00-0035144,0,defense,0,0.0
ARI,2026,LB,3,Zaven Collins,00-0036933,0,defense,0,0.0
ARI,2026,LB,4,Karson Sharar,00-0041093,0,defense,0,0.0
ARI,2026,LB,5,Cody Simon,00-0040645,0,defense,0,0.0
ARI,2026,LB,6,Baron Browning,00-0036995,0,defense,0,0.0
ARI,2026,QB,1,Jacoby Brissett,00-0033119,0,offense,13,233.4
ARI,2026,QB,2,Gardner Minshew II,00-0035289,0,offense,2,0.3
ARI,2026,QB,3,Carson Beck,00-0041561,0,offense,0,0.0
