player,espn
Josh Allen,QB1
Jayden Daniels,QB2
Lamar Jackson,QB3
Drake Maye,QB4
Jalen Hurts,QB5
Jaxson Dart,QB6
Joe Burrow,QB7
Brock Purdy,QB8
Trevor Lawrence,QB9
Dak Prescott,QB10
Bo Nix,QB11
Matthew Stafford,QB12
Caleb Williams,QB13
Patrick Mahomes,QB14
Justin Herbert,QB15
Kyler Murray,QB16
Tyler Shough,QB17
Daniel Jones,QB18
Jared Goff,QB19
Baker Mayfield,QB20
Malik Willis,QB21
Jordan Love,QB22
Cam Ward,QB23
C.J. Stroud,QB24
Sam Darnold,QB25
Bryce Young,QB26
Fernando Mendoza,QB27
Geno Smith,QB28
Aaron Rodgers,QB29
Deshaun Watson,QB30
Jacoby Brissett,QB31
Tua Tagovailoa,QB32
Bijan Robinson,RB1
Jahmyr Gibbs,RB2
Christian McCaffrey,RB3
Jonathan Taylor,RB4
De'Von Achane,RB5
Jeremiyah Love,RB6
James Cook III,RB7
Ashton Jeanty,RB8
Omarion Hampton,RB9
Saquon Barkley,RB10
Derrick Henry,RB11
Josh Jacobs,RB12
Chase Brown,RB13
Breece Hall,RB14
Kenneth Walker III,RB15
Javonte Williams,RB16
Kyren Williams,RB17
Travis Etienne Jr.,RB18
Cam Skattebo,RB19
Quinshon Judkins,RB20
Bucky Irving,RB21
TreVeyon Henderson,RB22
Bhayshul Tuten,RB23
D'Andre Swift,RB24
Jadarian Price,RB25
Chuba Hubbard,RB26
David Montgomery,RB27
Tony Pollard,RB28
Aaron Jones Sr.,RB29
Jaylen Warren,RB30
Rhamondre Stevenson,RB31
Rico Dowdle,RB32
Kenneth Gainwell,RB33
Rachaad White,RB34
J.K. Dobbins,RB35
RJ Harvey,RB36
Kyle Monangai,RB37
Jacory Croskey-Merritt,RB38
Jonathon Brooks,RB39
Woody Marks,RB40
Zach Charbonnet,RB41
Blake Corum,RB42
Tyjae Spears,RB43
Jordan Mason,RB44
Isiah Pacheco,RB45
Tyler Allgeier,RB46
Alvin Kamara,RB47
Brian Robinson Jr.,RB48
Chris Rodriguez Jr.,RB49
Braelon Allen,RB50
Puka Nacua,WR1
Ja'Marr Chase,WR2
Jaxon Smith-Njigba,WR3
Amon-Ra St. Brown,WR4
CeeDee Lamb,WR5
Justin Jefferson,WR6
Drake London,WR7
Rashee Rice,WR8
Malik Nabers,WR9
Nico Collins,WR10
Garrett Wilson,WR11
Chris Olave,WR12
A.J. Brown,WR13
George Pickens,WR14
Tetairoa McMillan,WR15
Zay Flowers,WR16
DeVonta Smith,WR17
Davante Adams,WR18
Terry McLaurin,WR19
Tee Higgins,WR20
Jaylen Waddle,WR21
Carnell Tate,WR22
Emeka Egbuka,WR23
Ladd McConkey,WR24
Jameson Williams,WR25
Rome Odunze,WR26
DJ Moore,WR27
Michael Pittman Jr.,WR28
Marvin Harrison Jr.,WR29
Luther Burden III,WR30
Courtland Sutton,WR31
DK Metcalf,WR32
Alec Pierce,WR33
Jordyn Tyson,WR34
Parker Washington,WR35
Mike Evans,WR36
Jakobi Meyers,WR37
Christian Watson,WR38
Wan'Dale Robinson,WR39
Makai Lemon,WR40
Chris Godwin Jr.,WR41
Michael Wilson,WR42
Brian Thomas Jr.,WR43
Matthew Golden,WR44
Ricky Pearsall,WR45
Jordan Addison,WR46
KC Concepcion,WR47
Khalil Shakir,WR48
Quentin Johnston,WR49
Jayden Reed,WR50
Romeo Doubs,WR51
Josh Downs,WR52
Calvin Ridley,WR53
Xavier Worthy,WR54
Omar Cooper Jr.,WR55
Jayden Higgins,WR56
Jerry Jeudy,WR57
Denzel Boston,WR58
Jalen Coker,WR59
Jalen McMillan,WR60
Rashid Shaheed,WR61
Travis Hunter,WR62
Germie Bernard,WR63
Tre Tucker,WR64
Chris Bell,WR65
Caleb Douglas,WR66
Rashod Bateman,WR67
Jalen Nailor,WR68
Jack Bech,WR69
Tank Dell,WR70
Trey McBride,TE1
Brock Bowers,TE2
Colston Loveland,TE3
Tyler Warren,TE4
Kyle Pitts Sr.,TE5
Harold Fannin Jr.,TE6
Sam LaPorta,TE7
Dallas Goedert,TE8
Travis Kelce,TE9
Jake Ferguson,TE10
Mark Andrews,TE11
Tucker Kraft,TE12
George Kittle,TE13
T.J. Hockenson,TE14
Kenyon Sadiq,TE15
Isaiah Likely,TE16
Dalton Kincaid,TE17
Juwan Johnson,TE18
Brenton Strange,TE19
Hunter Henry,TE20
Pat Freiermuth,TE21
Dalton Schultz,TE22
Gunnar Helm,TE23
Oronde Gadsden,TE24
Chig Okonkwo,TE25
AJ Barner,TE26
Greg Dulcich,TE27
Terrance Ferguson,TE28
Jake Tonges,TE29
Cade Otton,TE30
