player,team,proj_pts
Brandon Aubrey,DAL,158
Cameron Dicker,LAC,148
Ka'imi Fairbairn,HOU,145
Chris Boswell,PIT,144
Jake Bates,DET,142
Harrison Butker,KC,140
Chase McLaughlin,TB,139
Tyler Loop,BAL,138
Wil Lutz,DEN,137
Jason Sanders,MIA,136
Evan McPherson,CIN,135
Tyler Bass,BUF,134
Jake Elliott,PHI,133
Younghoe Koo,NYJ,131
Matt Gay,WAS,130
Cairo Santos,CHI,129
Will Reichard,MIN,128
Jason Myers,SEA,127
Nick Folk,ATL,126
Daniel Carlson,LV,126
Cam Little,JAX,125
Joshua Karty,ARI,124
Harrison Mevis,LAR,124
Brandon McManus,GB,123
Graham Gano,NYG,121
Blake Grupe,NO,120
Dustin Hopkins,CLE,119
Jake Moody,SF,117
Greg Zuerlein,NYJ,116
