player,position,team,round,pick,birth_year,role
Fernando Mendoza,QB,LV,1,1,2004,starter
Ty Simpson,QB,LAR,1,13,2004,redshirt
Carson Beck,QB,ARI,3,65,2003,redshirt
Drew Allar,QB,PIT,3,76,2003,redshirt
Jeremiyah Love,RB,ARI,1,3,2004,committee
Jadarian Price,RB,SEA,1,32,2004,committee
Kaelon Black,RB,SF,3,90,2003,backup
Jonah Coleman,RB,DEN,4,110,2004,committee
Mike Washington Jr.,RB,LV,4,115,2003,backup
Kaytron Allen,RB,WAS,6,187,2003,committee
Carnell Tate,WR,TEN,1,4,2004,starter
Jordyn Tyson,WR,NO,1,8,2004,starter
Makai Lemon,WR,PHI,1,20,2004,committee
KC Concepcion,WR,CLE,1,24,2004,starter
Omar Cooper Jr.,WR,NYJ,1,30,2004,committee
De'Zhaun Stribling,WR,SF,2,33,2004,committee
Germie Bernard,WR,PIT,2,47,2004,committee
Malachi Fields,WR,NYG,3,74,2003,committee
Caleb Douglas,WR,MIA,3,75,2004,backup
Zachariah Branch,WR,ATL,3,79,2004,backup
Ja'Kobi Lane,WR,BAL,3,80,2004,backup
Chris Brazzell II,WR,CAR,3,83,2003,committee
Kenyon Sadiq,TE,NYJ,1,16,2004,starter
Nate Boerkircher,TE,JAX,2,56,2003,backup
Marlin Klein,TE,HOU,2,59,2004,committee
Max Klare,TE,LAR,2,61,2004,committee
Oscar Delp,TE,NO,3,73,2004,backup
