player_id,player_display_name,position,team,week,def_tackles_solo,def_tackle_assists,def_tackles_for_loss,def_fumbles_forced,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_tds,def_fumble_recovery_opp
00-0026190,Calais Campbell,DE,ARI,1,3,2,0,0,0.0,0,0,0,0,0
00-0027940,Von Miller,OLB,WAS,1,1,0,0,0,0.0,1,0,0,0,0
00-0027962,Cameron Jordan,LB,NO,1,2,1,2,0,1.5,2,0,1,0,0
00-0027969,Cameron Heyward,DE,PIT,1,2,0,1,0,0.0,0,0,1,0,0
00-0028292,Nick Bellore,LB,WAS,1,1,1,0,0,0.0,0,0,0,0,0
00-0028872,Johnny Hekker,P,TEN,1,1,0,0,0,0.0,0,0,0,0,0
00-0029255,Bobby Wagner,MLB,WAS,1,4,5,1,0,0.0,0,0,0,0,0
00-0029562,Lavonte David,OLB,TB,1,3,6,1,0,0.0,0,0,0,0,0
00-0029592,Kevin Zeitler,G,TEN,1,1,0,0,0,0.0,0,0,0,0,0
00-0029607,Demario Davis,OLB,NO,1,6,3,2,0,0.0,0,0,0,0,0
00-0029714,Andrew DePaola,LS,MIN,1,0,1,0,0,0.0,0,0,0,0,0
00-0029892,Kyle Juszczyk,FB,SF,1,0,1,0,0,0.0,0,0,0,0,0
00-0030062,Darius Slay,CB,PIT,1,5,0,0,0,0.0,0,0,0,0,0
00-0030757,Mike Pennel,DT,CIN,1,0,3,1,0,0.0,0,0,0,0,0
00-0031040,Khalil Mack,OLB,LAC,1,1,0,0,0,0.0,1,0,0,0,0
00-0031054,DaQuan Jones,DT,BUF,1,1,0,1,0,0.0,0,0,0,0,0
00-0031270,Shelby Harris,DE,CLE,1,0,1,0,0,0.0,0,0,0,0,0
00-0031360,Kyle Van Noy,MLB,BAL,1,1,2,0,0,0.0,1,0,0,0,0
00-0031411,DeMarcus Lawrence,LB,SEA,1,1,4,2,0,0.0,1,0,0,0,0
00-0031550,Shaq Thompson,OLB,BUF,1,1,0,0,0,0.0,0,0,0,0,0
00-0031551,Eddie Goldman,NT,WAS,1,1,0,1,0,0.0,0,0,0,0,0
00-0031565,Danielle Hunter,DE,HOU,1,1,2,0,0,0.0,0,0,0,0,0
